"std, preprod, prod"
STD22056,0,0
STD22013,0,0
STD21089,0,0
STD22054,0,0
STD22098,0,0
std22027,0,0
STD22052,0,0
STD21084,0,0
std22028,2,0
STD22050,0,0
STD22095,0,0
STD22093,0,0
STD22019,0,0
STD22016,0,0
std22064,0,0
STD22017,0,0
STD22058,0,0
std22062,0,0
STD22045,0,0
STD22001,0,0
STD22089,0,0
STD22046,0,0
STD22087,0,0
STD22043,0,0
STD22044,0,0
STD22085,0,0
STD22086,0,0
STD22083,0,0
STD22081,0,0
STD22082,0,0
STD22080,0,0
std22098,2,0
STD22007,0,0
std22052,2,2
STD22005,0,0
STD22049,0,0
STD22047,0,0
std22095,2,0
STD22048,0,0
STD22078,0,0
STD22079,0,0
STD22076,0,0
STD22033,0,0
std22005,2,2
STD22074,0,0
STD22075,0,0
TCR21001,0,0
STD21060,0,0
std22048,2,2
STD22073,0,0
STD22070,0,0
std22081,2,2
std22082,2,2
std22089,2,2
std22043,2,2
STD22038,0,0
std22086,0,0
STD22036,0,0
STD22113,0,0
STD22037,0,0
std22119,0,0
STD22100,0,0
STD21099,0,0
STD22023,0,0
STD22068,0,0
STD22101,0,0
STD22065,0,0
STD22022,0,0
std22038,2,2
STD22064,0,0
std22037,0,0
STD22062,0,0
STD21092,0,0
std22078,0,0
STD22108,0,0
STD22029,0,0
STD22106,0,0
STD22107,0,0
STD22104,0,0
STD22027,0,0
std22075,2,0
STD22105,0,0
STD22028,0,0
STD22025,0,0
STD22069,0,0
STD22026,0,0
